variant,canonical
agar,agar agar
albacore tuna,tuna
angel flake coconut,coconut
anjou pear,pear
apple brandy,brandy
apricot brandy,brandy
asian pear,pear
bacardi rum,rum
baking chocolate,chocolate
barley,barley
bartlett pear,pear
bay scallop,scallop
beef round,beef eye round
beef suet,suet
best foods mayonnaise,mayonnaise
bicarbonate of soda,baking soda
bing cherry,cherry
bittersweet chocolate,chocolate
black cardamom pod,cardamom pod
black coffee,coffee
black currant,currant
black lentil,lentil
black tea,tea
black treacle,treacle
blackstrap molasse,molasses
bosc pear,pear
bottled garlic,garlic
brewed coffee,coffee
broiler chicken,chicken
broiler fryer chicken,chicken
brown button mushroom,mushroom
brown lentil,lentil
bulb of garlic,garlic
bulbs of garlic,garlic
bulgur wheat,bulgar wheat
butter flavor shortening,shortening
button mushroom,mushroom
candied citron peel,candied citron peel
candied lemon peel,candied lemon peel
candied pecan,pecan
candied walnut,walnut
canned clam,clam
canned corn kernel,corn kernel
canned pear,pear
canned pumpkin,pumpkin
canned salmon,salmon
canned solid pack pumpkin,pumpkin
canned tuna,tuna
center cut pork chop,pork chop
cherry brandy,brandy
chicken flavor instant bouillon,chicken bouillon
chicken legs thigh,chicken thigh
chipotle chile in adobo,chipotle chiles in adobo
chipotle salsa,salsa
chocolate graham cracker,graham cracker
chocolate graham cracker crumb,graham cracker crumb
chunk pineapple,pineapple
chunk tuna,tuna
chunky applesauce,applesauce
chunky salsa,salsa
cinnamon graham cracker,graham cracker
clear honey,honey
colored miniature marshmallow,miniature marshmallow
cooking chocolate,chocolate
corkscrew macaroni,elbow macaroni
corned beef brisket,beef brisket
country ham,ham
cremini mushroom,mushroom
crisco shortening,shortening
curly leaf parsley,parsley
daikon radish,radish
daikon radishe,radish
deli ham,ham
dry basil,basil
dry buttermilk,buttermilk
dry dill weed,dill weed
dry green lentil,lentil
dry lentil,lentil
dry linguine,linguine
dry marsala,marsala
dry oregano,oregano
dry tapioca,tapioca
dry tarragon,tarragon
english cucumber,cucumber
english seedless cucumber,cucumber
english walnut,walnut
espresso coffee,coffee
fat free buttermilk,buttermilk
fat free mayonnaise,mayonnaise
fine semolina,semolina
flaked coconut,coconut
flat leaf italian parsley,parsley
flat leaf parsley,parsley
french baguette,baguette
french fry,french fry
french lentil,lentil
frozen asparagu,asparagus
frozen blackberry,blackberry
frozen blueberry,blueberry
frozen broccoli,broccoli
frozen carrot,carrot
frozen cauliflower,cauliflower
frozen cherry,cherry
frozen corn kernel,corn kernel
frozen cranberry,cranberry
frozen cut okra,okra
frozen okra,okra
frozen puff pastry,puff pastry
frozen raspberry,raspberry
frozen rhubarb,rhubarb
frozen shrimp,shrimp
frozen spinach,spinach
frozen strawberry,strawberry
frozen sweetened raspberry,raspberry
frozen sweetened strawberry,strawberry
frozen unsweetened raspberry,raspberry
frozen unsweetened strawberry,strawberry
frozen whole strawberry,strawberry
fryer chicken,chicken
frying chicken,chicken
gluten,vital wheat gluten
golden raisin,raisin
golden rum,rum
graham cracker crumb crust,graham cracker pie crust
graham cracker crust,graham cracker pie crust
green asparagu,asparagus
green cabbage,cabbage
green cardamom,cardamom
green cardamom pod,cardamom pod
green coriander,coriander
green creme de menthe,creme de menthe
green lentil,lentil
green mango,mango
green maraschino cherry,maraschino cherry
green onions with top,green onion
green plantain,plantain
green zucchini,zucchini
hard egg,egg
hash brown,hash brown
hass avocado,avocado
head broccoli,broccoli
head cauliflower,cauliflower
head of broccoli,broccoli
head of cabbage,cabbage
head of garlic,garlic
heads of garlic,garlic
heinz ketchup,ketchup
hellmann s mayonnaise,mayonnaise
hickory liquid smoke,liquid smoke
honey graham cracker,graham cracker
hot paprika,paprika
hot salsa,salsa
hungarian paprika,paprika
instant chicken bouillon,chicken bouillon
instant coffee,coffee
instant tea,tea
israeli couscou,couscous
italian parsley,parsley
japanese eggplant,eggplant
jumbo egg,egg
jumbo shrimp,shrimp
kalamata olive,olive
key lime,lime
kirby cucumber,cucumber
lager beer,beer
leaf basil,basil
leaf thyme,thyme
lebanese cucumber,cucumber
leg of lamb,lamb
libby s canned pumpkin,pumpkin
liquid honey,honey
liquid stevia,stevia
littleneck clam,clam
live lobster,lobster
low fat buttermilk,buttermilk
low fat creme fraiche,creme fraiche
low fat graham cracker,graham cracker
low fat margarine,margarine
low fat mayonnaise,mayonnaise
low fat ricotta,ricotta
low fat soymilk,soymilk
low fat tofu,tofu
low sodium tamari,tamari
macaroni,elbow macaroni
mandarin orange,orange
marinated artichoke,artichoke
mild paprika,paprika
mild salsa,salsa
mini marshmallow,miniature marshmallow
minute tapioca,tapioca
navel orange,orange
nicoise olive,olive
no salt added ketchup,ketchup
non fat soymilk,soymilk
oat,oat
oil cured black olive,black olive
old fashioned oat,oat
old fashioned oatmeal,oatmeal
peach brandy,brandy
pearl tapioca,tapioca
peppercorn,black peppercorn
pickling cucumber,cucumber
pink grapefruit,grapefruit
pink salmon,salmon
pitted black olive,black olive
pitted date,date
pitted olive,olive
polish kielbasa,kielbasa
polska kielbasa,kielbasa
pomegranate molasse,pomegranate molasses
pork loin chop,pork chop
porridge oat,oat
pot barley,barley
powdered cumin,cumin
powdered instant coffee,coffee
powdered saffron,saffron
premade puff pastry,puff pastry
prepared graham cracker crust,graham cracker pie crust
prepared mayonnaise,mayonnaise
purple cabbage,cabbage
purple plum,plum
quaker oat,oat
quick cooking barley,barley
quick cooking grit,grit
quick cooking oat,oat
quick cooking oatmeal,oatmeal
quick oat,oat
quick oatmeal,oatmeal
rack of lamb,lamb
racks of lamb,lamb
real vanilla,vanilla
real vanilla extract,vanilla extract
red beet,beet
red cabbage,cabbage
red cherry,cherry
red currant,currant
red grapefruit,grapefruit
