,variant,canonical
0,hard egg,egg
1,jumbo egg,egg
2,clove,garlic clove
3,whole clove,garlic clove
4,powdered clove,garlic clove
5,bulb of garlic,garlic
6,instant garlic,garlic
7,head of garlic,garlic
8,tomatoes with basil oregano and garlic,garlic
9,tomatoes with garlic,garlic
10,tomatoes with onion and garlic,garlic
11,bottled garlic,garlic
12,heads of garlic,garlic
13,bulbs of garlic,garlic
14,flat leaf parsley,parsley
15,italian parsley,parsley
16,flat leaf italian parsley,parsley
17,curly leaf parsley,parsley
18,real vanilla,vanilla
19,bicarbonate of soda,baking soda
20,frozen carrot,carrot
21,real vanilla extract,vanilla extract
22,vegan margarine,margarine
23,unsalted margarine,margarine
24,reduced calorie margarine,margarine
25,reduced fat margarine,margarine
26,soy margarine,margarine
27,low fat margarine,margarine
28,regular margarine,margarine
29,crystallized ginger,ginger
30,powdered ginger,ginger
31,candied ginger,ginger
32,pickled ginger,ginger
33,glace ginger,ginger
34,mexican oregano,oregano
35,dry oregano,oregano
36,greek oregano,oregano
37,tomatoes seasoned with basil garlic oregano,oregano
38,powdered cumin,cumin
39,liquid honey,honey
40,clear honey,honey
41,orange blossom honey,honey
42,turkey breast,chicken breast
43,duck breast,chicken breast
44,thai basil,basil
45,sweet basil,basil
46,dry basil,basil
47,tomatoes with basil,basil
48,leaf basil,basil
49,whole nutmeg,nutmeg
50,low fat mayonnaise,mayonnaise
51,fat free mayonnaise,mayonnaise
52,hellmann s mayonnaise,mayonnaise
53,vegan mayonnaise,mayonnaise
54,best foods mayonnaise,mayonnaise
55,prepared mayonnaise,mayonnaise
56,leaf thyme,thyme
57,whole thyme,thyme
58,sweet paprika,paprika
59,hungarian paprika,paprika
60,hot paprika,paprika
61,sweet hungarian paprika,paprika
62,mild paprika,paprika
63,red paprika,paprika
64,smoked bacon,bacon
65,canadian bacon,bacon
66,streaky bacon,bacon
67,slab bacon,bacon
68,crisp bacon,bacon
69,back bacon,bacon
70,smoked streaky bacon,bacon
71,vegetarian bacon,bacon
72,button mushroom,mushroom
73,portabella mushroom,mushroom
74,shiitake mushroom,mushroom
75,cremini mushroom,mushroom
76,white mushroom,mushroom
77,porcini mushroom,mushroom
78,white button mushroom,mushroom
79,whole mushroom,mushroom
80,brown button mushroom,mushroom
81,whole pecan,pecan
82,candied pecan,pecan
83,black walnut,walnut
84,english walnut,walnut
85,candied walnut,walnut
86,golden raisin,raisin
87,seedless raisin,raisin
88,white raisin,raisin
89,sultana raisin,raisin
90,green zucchini,zucchini
91,yellow zucchini,zucchini
92,preserved lemon,lemon
93,jumbo shrimp,shrimp
94,frozen shrimp,shrimp
95,tiger shrimp,shrimp
96,bay shrimp,shrimp
97,low fat buttermilk,buttermilk
98,fat free buttermilk,buttermilk
99,dry buttermilk,buttermilk
100,fat buttermilk,buttermilk
101,tomato ketchup,ketchup
102,heinz ketchup,ketchup
103,no salt added ketchup,ketchup
104,frozen strawberry,strawberry
105,frozen unsweetened strawberry,strawberry
106,frozen sweetened strawberry,strawberry
107,frozen whole strawberry,strawberry
108,cream cheese with chive,chive
109,whole chicken,chicken
110,roasting chicken,chicken
111,broiler fryer chicken,chicken
112,frying chicken,chicken
113,fryer chicken,chicken
114,stewing chicken,chicken
115,white meat chicken,chicken
116,broiler chicken,chicken
117,vegetable shortening,shortening
118,crisco shortening,shortening
119,butter flavor shortening,shortening
120,solid shortening,shortening
121,english cucumber,cucumber
122,seedless cucumber,cucumber
123,lebanese cucumber,cucumber
124,pickling cucumber,cucumber
125,kirby cucumber,cucumber
126,english seedless cucumber,cucumber
127,seedless european cucumber,cucumber
128,hass avocado,avocado
129,whole allspice,allspice
130,country style pork rib,celery rib
131,beef rib,celery rib
132,beef short rib,celery rib
133,pork rib,celery rib
134,chunk pineapple,pineapple
135,chunky salsa,salsa
136,mild salsa,salsa
137,green chili salsa,salsa
138,hot salsa,salsa
139,tomatillo salsa,salsa
140,chipotle salsa,salsa
141,mango salsa,salsa
142,frozen spinach,spinach
143,frozen creamed spinach,spinach
144,deli ham,ham
145,smoked ham,ham
146,country ham,ham
147,prosciutto ham,ham
148,serrano ham,ham
149,parma ham,ham
150,sweetened cranberry,cranberry
151,frozen cranberry,cranberry
152,chicken breast half,half and half
153,green coriander,coriander
154,orange zest,lemon zest
155,lime zest,lemon zest
156,key lime zest,lemon zest
157,tangerine zest,lemon zest
158,grapefruit zest,lemon zest
159,tortilla chip,chocolate chip
160,white chocolate chip,chocolate chip
161,corn tortilla chip,chocolate chip
162,bittersweet chocolate chip,chocolate chip
163,carob chip,chocolate chip
164,semisweet vegan chocolate chip,chocolate chip
165,banana chip,chocolate chip
166,nacho cheese flavored tortilla chip,chocolate chip
167,bagel chip,chocolate chip
168,unsulphured molasse,molasse
169,pomegranate molasse,molasse
170,blackstrap molasse,molasse
171,rubbed sage,sage
172,key lime,lime
173,frozen blueberry,blueberry
174,unsweetened frozen blueberry,blueberry
175,pecan halve,chicken breast halve
176,walnut halve,chicken breast halve
177,cashew halve,chicken breast halve
178,kalamata olive,black olive
179,green olive,black olive
180,olive,black olive
181,pitted black olive,black olive
