variant,canonical,bad_mapping
hard egg,egg,False
jumbo egg,egg,False
clove,garlic clove,False
whole clove,garlic clove,False
powdered clove,garlic clove,False
bulb of garlic,garlic,False
instant garlic,garlic,False
head of garlic,garlic,False
tomatoes with basil oregano and garlic,garlic,False
tomatoes with garlic,garlic,False
tomatoes with onion and garlic,garlic,False
bottled garlic,garlic,False
heads of garlic,garlic,False
bulbs of garlic,garlic,False
flat leaf parsley,parsley,False
italian parsley,parsley,False
flat leaf italian parsley,parsley,False
curly leaf parsley,parsley,False
real vanilla,vanilla,False
bicarbonate of soda,baking soda,False
frozen carrot,carrot,False
real vanilla extract,vanilla extract,False
vegan margarine,margarine,False
unsalted margarine,margarine,False
reduced calorie margarine,margarine,False
reduced fat margarine,margarine,False
soy margarine,margarine,False
low fat margarine,margarine,False
regular margarine,margarine,False
crystallized ginger,ginger,False
powdered ginger,ginger,False
candied ginger,ginger,False
pickled ginger,ginger,False
glace ginger,ginger,False
mexican oregano,oregano,False
dry oregano,oregano,False
greek oregano,oregano,False
tomatoes seasoned with basil garlic oregano,oregano,False
powdered cumin,cumin,False
liquid honey,honey,False
clear honey,honey,False
orange blossom honey,honey,False
thai basil,basil,False
sweet basil,basil,False
dry basil,basil,False
tomatoes with basil,basil,False
leaf basil,basil,False
whole nutmeg,nutmeg,False
low fat mayonnaise,mayonnaise,False
fat free mayonnaise,mayonnaise,False
hellmann s mayonnaise,mayonnaise,False
vegan mayonnaise,mayonnaise,False
best foods mayonnaise,mayonnaise,False
prepared mayonnaise,mayonnaise,False
leaf thyme,thyme,False
whole thyme,thyme,False
sweet paprika,paprika,False
hungarian paprika,paprika,False
hot paprika,paprika,False
sweet hungarian paprika,paprika,False
mild paprika,paprika,False
red paprika,paprika,False
smoked bacon,bacon,False
canadian bacon,bacon,False
streaky bacon,bacon,False
slab bacon,bacon,False
crisp bacon,bacon,False
back bacon,bacon,False
smoked streaky bacon,bacon,False
vegetarian bacon,bacon,False
button mushroom,mushroom,False
portabella mushroom,mushroom,False
shiitake mushroom,mushroom,False
cremini mushroom,mushroom,False
white mushroom,mushroom,False
porcini mushroom,mushroom,False
white button mushroom,mushroom,False
whole mushroom,mushroom,False
brown button mushroom,mushroom,False
whole pecan,pecan,False
candied pecan,pecan,False
black walnut,walnut,False
english walnut,walnut,False
candied walnut,walnut,False
golden raisin,raisin,False
seedless raisin,raisin,False
white raisin,raisin,False
sultana raisin,raisin,False
green zucchini,zucchini,False
yellow zucchini,zucchini,False
preserved lemon,lemon,False
jumbo shrimp,shrimp,False
frozen shrimp,shrimp,False
tiger shrimp,shrimp,False
bay shrimp,shrimp,False
low fat buttermilk,buttermilk,False
fat free buttermilk,buttermilk,False
dry buttermilk,buttermilk,False
fat buttermilk,buttermilk,False
tomato ketchup,ketchup,False
heinz ketchup,ketchup,False
no salt added ketchup,ketchup,False
frozen strawberry,strawberry,False
frozen unsweetened strawberry,strawberry,False
frozen sweetened strawberry,strawberry,False
frozen whole strawberry,strawberry,False
cream cheese with chive,chive,False
whole chicken,chicken,False
roasting chicken,chicken,False
broiler fryer chicken,chicken,False
frying chicken,chicken,False
fryer chicken,chicken,False
stewing chicken,chicken,False
white meat chicken,chicken,False
broiler chicken,chicken,False
vegetable shortening,shortening,False
crisco shortening,shortening,False
butter flavor shortening,shortening,False
solid shortening,shortening,False
english cucumber,cucumber,False
seedless cucumber,cucumber,False
lebanese cucumber,cucumber,False
pickling cucumber,cucumber,False
kirby cucumber,cucumber,False
english seedless cucumber,cucumber,False
seedless european cucumber,cucumber,False
hass avocado,avocado,False
whole allspice,allspice,False
chunk pineapple,pineapple,False
chunky salsa,salsa,False
mild salsa,salsa,False
green chili salsa,salsa,False
hot salsa,salsa,False
tomatillo salsa,salsa,False
chipotle salsa,salsa,False
mango salsa,salsa,False
frozen spinach,spinach,False
frozen creamed spinach,spinach,False
deli ham,ham,False
smoked ham,ham,False
country ham,ham,False
prosciutto ham,ham,False
serrano ham,ham,False
parma ham,ham,False
sweetened cranberry,cranberry,False
frozen cranberry,cranberry,False
green coriander,coriander,False
unsulphured molasse,molasse,False
pomegranate molasse,molasse,False
blackstrap molasse,molasse,False
rubbed sage,sage,False
key lime,lime,False
frozen blueberry,blueberry,False
unsweetened frozen blueberry,blueberry,False
kalamata olive,black olive,False
pitted black olive,black olive,False
pitted olive,black olive,False
stuffed green olive,black olive,False
spanish olive,black olive,False
nicoise olive,black olive,False
oil cured black olive,black olive,False
white rum,rum,False
spiced rum,rum,False
malibu rum,rum,False
golden rum,rum,False
bacardi rum,rum,False
jamaican rum,rum,False
mandarin orange,orange,False
navel orange,orange,False
blood orange,orange,False
seedless orange,orange,False
canned mandarin orange,orange,False
green cabbage,cabbage,False
red cabbage,cabbage,False
napa cabbage,cabbage,False
head of cabbage,cabbage,False
savoy cabbage,cabbage,False
chinese cabbage,cabbage,False
white cabbage,cabbage,False
purple cabbage,cabbage,False
frozen broccoli,broccoli,False
head broccoli,broccoli,False
head of broccoli,broccoli,False
flaked coconut,coconut,False
sweetened flaked coconut,coconut,False
unsweetened coconut,coconut,False
sweetened coconut,coconut,False
cream of coconut,coconut,False
unsweetened flaked coconut,coconut,False
angel flake coconut,coconut,False
salt pork,pork,False
barbecued pork,pork,False
