userId,genres,original_language,adult
1,['Comedy'],['en'],['People of all age']
2,['Drama'],['en'],['People of all age']
3,['Drama'],"['en', 'fr']",['People of all age']
4,['Drama'],['en'],['People of all age']
5,['Drama'],['en'],['People of all age']
6,['Drama'],['en'],['People of all age']
7,['Drama'],['en'],['People of all age']
8,['Drama'],['en'],['People of all age']
9,['Drama'],"['en', 'ja']",['People of all age']
10,['Drama'],['en'],['People of all age']
11,['Drama'],"['en', 'fr']",['People of all age']
12,[],['en'],['People of all age']
13,['Drama'],['en'],['People of all age']
14,[],['en'],['People of all age']
15,[],['en'],['People of all age']
16,"['Drama', 'Thriller']",['en'],['People of all age']
17,['Drama'],['en'],['People of all age']
18,[],['en'],['People of all age']
19,['Drama'],['en'],['People of all age']
20,['Drama'],['en'],['People of all age']
21,['Drama'],['en'],['People of all age']
22,['Drama'],['en'],['People of all age']
23,['Drama'],['en'],['People of all age']
24,['Drama'],"['en', 'fr']",['People of all age']
25,['Drama'],['en'],['People of all age']
26,['Drama'],['en'],['People of all age']
27,"['Action', 'Drama', 'Thriller']",['en'],['People of all age']
28,['Drama'],['en'],['People of all age']
29,"['Comedy', 'Drama']","['en', 'fr']",['People of all age']
30,['Drama'],['en'],['People of all age']
31,['Drama'],['en'],['People of all age']
32,['Drama'],"['de', 'en', 'fr']",['People of all age']
33,['Drama'],['en'],['People of all age']
34,['Drama'],['en'],['People of all age']
35,['Drama'],['en'],['People of all age']
36,['Drama'],['en'],['People of all age']
37,['Drama'],"['en', 'fr']",['People of all age']
38,['Drama'],['en'],['People of all age']
39,['Drama'],['en'],['People of all age']
40,['Comedy'],['en'],['People of all age']
41,['Drama'],"['en', 'fr']",['People of all age']
42,"['Comedy', 'Drama']","['en', 'fr']",['People of all age']
43,['Drama'],['en'],['People of all age']
44,['Drama'],['en'],['People of all age']
45,[],['en'],['People of all age']
46,"['Drama', 'Thriller']","['en', 'fr']",['People of all age']
47,['Drama'],"['de', 'en']",['People of all age']
48,['Drama'],['en'],['People of all age']
49,['Drama'],['en'],['People of all age']
50,['Drama'],['en'],['People of all age']
51,"['Drama', 'Romance']",['en'],['People of all age']
52,['Drama'],"['en', 'fr']",['People of all age']
53,['Drama'],"['en', 'fr']",['People of all age']
54,['Drama'],"['en', 'ja']",['People of all age']
55,['Drama'],['en'],['People of all age']
56,['Drama'],['en'],['People of all age']
57,['Drama'],['en'],['People of all age']
58,['Drama'],['en'],['People of all age']
59,['Drama'],['en'],['People of all age']
60,['Drama'],['en'],['People of all age']
61,['Drama'],['en'],['People of all age']
62,"['Drama', 'Thriller']",['en'],['People of all age']
63,['Drama'],['en'],['People of all age']
64,['Drama'],"['en', 'fr']",['People of all age']
65,"['Comedy', 'Drama', 'Romance']",['en'],['People of all age']
66,['Drama'],"['de', 'en']",['People of all age']
