RecipeId,Name,RecipeInstructions,Images,AggregatedRating_na,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,source,PrepTime,CookTime,TotalTime,PrepTime_Minutes,CookTime_Minutes,TotalTime_Minutes,RecipeIngredientParts,RecipeIngredientParts_old,ingredients_canonical,ingredients_canonical_auto,ingredients_canonical_final,ingredients_canonical_final_le_5_replace,EnergyFromFat,EnergyFromSaturatedFat,EnergyFromCarbs,EnergyFromProtein,SaturatedFatPercentEnergy,FatPercentEnergy,WHO_SatFat_Compliant,WHO_Fat_Compliant,WHO_Sodium_Compliant,WHO_Score,WHO_Healthy,Energy_kJ,A_score,C_score,FSA_Score,FSA_Healthy
11708,Jim's Macaroni Salad,,https://images.media-allrecipes.com/userphotos/250x250/75707.jpg,4.39552259445,108.0,488.4785,29.05778,7.166072,116.8444,792.9377,43.34592,2.822367,3.747206,13.57628,foodrecsys,,,,,,,"['macaroni', 'cider vinegar', 'mayonnaise', 'chopped white onion', 'sliced pimento peppers', 'chopped dill pickles', 'chopped green bell pepper', 'american processed cheese', 'pitted ripe olives drained', 'hard-cooked eggs chopped', 'salt and ground black pepper to taste']","['macaroni', 'cider vinegar', 'mayonnaise', 'chopped white onion', 'sliced pimento peppers', 'chopped dill pickles', 'chopped green bell pepper', 'american processed cheese', 'pitted ripe olives drained', 'hard-cooked eggs chopped', 'salt and ground black pepper to taste']","['elbow macaroni', 'cider vinegar', 'mayonnaise', 'onion', 'pimento pepper', 'dill pickle', 'green bell pepper', 'american processed cheese', 'pitted olives drained', 'egg', 'salt and black pepper to taste']","['elbow macaroni', 'cider vinegar', 'mayonnaise', 'onion', 'pimento pepper', 'dill pickle', 'green bell pepper', 'american processed cheese', 'pitted olives drained', 'egg', 'salt and black pepper to taste']","['elbow macaroni', 'cider vinegar', 'mayonnaise', 'onion', 'pimento pepper', 'dill pickle', 'green bell pepper', 'american processed cheese', 'pitted olives drained', 'egg', 'salt and black pepper to taste']","['elbow macaroni', 'cider vinegar', 'mayonnaise', 'onion', 'pimento pepper', 'dill pickle', 'green bell pepper', 'american processed cheese', 'other_target_ingredient', 'egg', 'salt and black pepper to taste']",261.52002,64.494648,173.38368,54.30512,13.203170252119593,53.53767258947937,False,False,False,0,False,2043.794044,21,8,13,False
222797,Tuna Souvlaki Pasta Salad,,https://images.media-allrecipes.com/userphotos/720x405/2614242.jpg,4.75,4.0,247.7518,12.69102,2.340686,8.89215,482.0663,24.88254,1.619213,3.067726,8.964731,foodrecsys,,,,,,,"['red onion', 'ice water', 'tri-color rotini pasta', 'light tuna in water', 'celery', 'roasted red peppers', 'smoked sun-dried tomatoes', 'crumbled feta cheese', 'sprig parsley', 'leaves fresh basil', 'capers', 'greek vinaigrette salad dressing']","['red onion', 'ice water', 'tri-color rotini pasta', 'light tuna in water', 'celery', 'roasted red peppers', 'smoked sun-dried tomatoes', 'crumbled feta cheese', 'sprig parsley', 'leaves fresh basil', 'capers', 'greek vinaigrette salad dressing']","['onion', 'ice water', 'tri color rotini pasta', 'light tuna in water', 'celery', 'red bell pepper', 'smoked sun tomato', 'crumbled feta cheese', 'sprig parsley', 'leaves basil', 'caper', 'greek vinaigrette salad dressing']","['onion', 'ice water', 'tri color rotini pasta', 'light tuna in water', 'celery', 'red bell pepper', 'smoked sun tomato', 'crumbled feta cheese', 'sprig parsley', 'basil', 'caper', 'greek vinaigrette salad dressing']","['onion', 'ice water', 'tri color rotini pasta', 'light tuna in water', 'celery', 'red bell pepper', 'smoked sun tomato', 'crumbled feta cheese', 'sprig parsley', 'basil', 'caper', 'greek vinaigrette salad dressing']","['onion', 'ice water', 'tri color rotini pasta', 'other_target_ingredient', 'celery', 'red bell pepper', 'crumbled feta cheese', 'sprig parsley', 'basil', 'caper']",114.21918,21.066173999999997,99.53016,35.858924,8.502934791997474,46.10226040739159,True,False,True,2,True,1036.5935312000001,10,6,4,False
246538,"Pasta With Sugar Snap Peas, Parmesan and Mushrooms",,https://images.media-allrecipes.com/userphotos/720x405/3480750.jpg,3.0,1.0,364.85,12.2735,2.55653,4.4,152.4768,51.57015,4.878645,2.839092,13.061,foodrecsys,,,,,,,"['penne pasta', 'sugar snap peas', 'olive oil', 'margarine', 'white mushrooms sliced', 'green onions', 'garlic', 'lemon zested', 'lemon juice', 'salt and ground black pepper to taste', 'grated parmesan cheese', 'chopped fresh mint (optional)']","['penne pasta', 'sugar snap peas', 'olive oil', 'margarine', 'white mushrooms sliced', 'green onions', 'garlic', 'lemon zested', 'lemon juice', 'salt and ground black pepper to taste', 'grated parmesan cheese', 'chopped fresh mint (optional)']","['penne pasta', 'sugar snap pea', 'olive oil', 'margarine', 'mushroom', 'green onion', 'garlic', 'lemon zested', 'lemon juice', 'salt and black pepper to taste', 'parmesan cheese', 'mint']","['penne pasta', 'frozen pea', 'olive oil', 'margarine', 'mushroom', 'green onion', 'garlic', 'lemon zested', 'lemon juice', 'salt and black pepper to taste', 'parmesan cheese', 'mint']","['penne pasta', 'frozen pea', 'olive oil', 'margarine', 'mushroom', 'green onion', 'garlic', 'lemon zested', 'lemon juice', 'salt and black pepper to taste', 'parmesan cheese', 'mint']","['penne pasta', 'frozen pea', 'olive oil', 'margarine', 'mushroom', 'green onion', 'garlic', 'lemon zested', 'lemon juice', 'salt and black pepper to taste', 'parmesan cheese', 'mint']",110.4615,23.00877,206.2806,52.244,6.306364259284638,30.27586679457311,True,False,True,2,True,1526.5324,7,10,-3,True
255021,Creamy Bay Scallop Spaghetti,,https://images.media-allrecipes.com/userphotos/720x405/3882536.jpg,4.94444465637,16.0,671.1796,33.50929,18.26868,166.3622,572.5293,53.05359,2.07595,1.78203,37.75423,foodrecsys,,,,,,,"['uncooked thick spaghetti', 'vegetable oil', 'bay scallops', 'butter', 'garlic', 'grated lemon zest', 'red pepper flakes', 'dry sherry', 'heavy cream', 'salt and pepper to taste', 'lemon juiced', 'chopped italian parsley', 'freshly grated parmigiano-reggiano cheese']","['uncooked thick spaghetti', 'vegetable oil', 'bay scallops', 'butter', 'garlic', 'grated lemon zest', 'red pepper flakes', 'dry sherry', 'heavy cream', 'salt and pepper to taste', 'lemon juiced', 'chopped italian parsley', 'freshly grated parmigiano-reggiano cheese']","['spaghetti', 'vegetable oil', 'scallop', 'butter', 'garlic', 'lemon zest', 'red pepper flake', 'dry sherry', 'heavy cream', 'salt and pepper to taste', 'lemon juiced', 'parsley', 'freshly parmigiano reggiano cheese']","['spaghetti', 'vegetable oil', 'scallop', 'butter', 'garlic', 'lemon zest', 'red pepper flake', 'dry sherry', 'heavy cream', 'salt and pepper to taste', 'lemon juiced', 'parsley', 'freshly parmigiano reggiano cheese']","['spaghetti', 'vegetable oil', 'scallop', 'butter', 'garlic', 'lemon zest', 'red pepper flake', 'dry sherry', 'heavy cream', 'salt and pepper to taste', 'lemon juiced', 'parsley', 'freshly parmigiano reggiano cheese']","['spaghetti', 'vegetable oil', 'scallop', 'butter', 'garlic', 'lemon zest', 'red pepper flake', 'dry sherry', 'heavy cream', 'salt and pepper to taste', 'lemon juiced', 'parsley', 'freshly parmigiano reggiano cheese']",301.58361,164.41812,212.21436,151.01692,24.496888761219797,44.93336954818054,False,False,True,1,False,2808.2154464000005,24,7,17,False
239404,Creamy Cabbage with Noodles,,https://images.media-allrecipes.com/userphotos/720x405/1473991.jpg,4.40000009537,5.0,610.265,39.22982,23.5482,167.9675,878.8491,55.23851,5.567594,6.614807,11.87653,foodrecsys,,,,,,,"['butter', 'medium head cabbage cut into 1-inch chunks', 'large onion', 'diamond crystal® kosher salt', 'ground black pepper', 'heavy cream', 'chicken broth', 'all-purpose flour', 'dried egg noodles']","['butter', 'medium head cabbage cut into 1-inch chunks', 'large onion', 'diamond crystal® kosher salt', 'ground black pepper', 'heavy cream', 'chicken broth', 'all-purpose flour', 'dried egg noodles']","['butter', 'head cabbage cut into inch chunk', 'onion', 'diamond crystal kosher salt', 'black pepper', 'heavy cream', 'chicken broth', 'all purpose flour', 'egg noodle']","['butter', 'head cabbage cut into inch chunk', 'onion', 'diamond crystal kosher salt', 'black pepper', 'heavy cream', 'chicken broth', 'all purpose flour', 'egg noodle']","['butter', 'head cabbage cut into inch chunk', 'onion', 'diamond crystal kosher salt', 'black pepper', 'heavy cream', 'chicken broth', 'all purpose flour', 'egg noodle']","['butter', 'other_target_ingredient', 'onion', 'diamond crystal kosher salt', 'black pepper', 'heavy cream', 'chicken broth', 'all purpose flour', 'egg noodle']",353.06838,211.93380000000002,220.95404,47.50612,34.728159078433144,57.85492859659328,False,False,False,0,False,2553.34876,27,10,17,False
17140,Baked Macaroni and Cheese II,,https://images.media-allrecipes.com/userphotos/720x405/3946599.jpg,4.07272720337,44.0,583.8597,24.26293,13.19388,73.69354,867.977,64.47654,4.028714,6.081429,27.88052,foodrecsys,,,,,,,"['macaroni', 'condensed cream of cheddar cheese soup', 'milk', 'extra sharp white cheddar cheese', 'stewed tomatoes', 'dry bread crumbs']","['macaroni', 'condensed cream of cheddar cheese soup', 'milk', 'extra sharp white cheddar cheese', 'stewed tomatoes', 'dry bread crumbs']","['elbow macaroni', 'condensed cream of cheddar cheese soup', 'milk', 'extra sharp white cheddar cheese', 'stewed tomato', 'dry bread crumb']","['elbow macaroni', 'condensed cream of cheddar cheese soup', 'milk', 'extra sharp white cheddar cheese', 'stewed tomato', 'bread crumb']","['elbow macaroni', 'condensed cream of cheddar cheese soup', 'milk', 'extra sharp white cheddar cheese', 'stewed tomato', 'bread crumb']","['elbow macaroni', 'condensed cream of cheddar cheese soup', 'milk', 'extra sharp white cheddar cheese', 'stewed tomato', 'bread crumb']",218.36637000000002,118.74492000000001,257.90616,111.52208,20.337920222957674,37.4004867950297,False,False,False,0,False,2442.8689848,27,9,18,False
12014,Summer Pasta Toss I,,https://images.media-allrecipes.com/userphotos/250x250/667342.jpg,4.44444465637,8.0,685.2112,37.61236,12.92303,92.6,2306.49,52.33221,3.03575,6.45065,33.30308,foodrecsys,,,,,,,"['spaghetti broken into pieces', 'grated parmesan cheese', 'chopped salami', 'italian-style salad dressing', 'tomatoes chopped', 'green bell pepper']","['spaghetti broken into pieces', 'grated parmesan cheese', 'chopped salami', 'italian-style salad dressing', 'tomatoes chopped', 'green bell pepper']","['spaghetti broken into piece', 'parmesan cheese', 'salami', 'italian style salad dressing', 'tomato', 'green bell pepper']","['spaghetti broken into piece', 'parmesan cheese', 'salami', 'dressing', 'tomato', 'green bell pepper']","['spaghetti broken into piece', 'parmesan cheese', 'salami', 'dressing', 'tomato', 'green bell pepper']","['spaghetti broken into piece', 'parmesan cheese', 'salami', 'dressing', 'tomato', 'green bell pepper']",338.51124000000004,116.30727,209.32884,133.21232,16.97393008170328,49.40246744361447,False,False,False,0,False,2866.9236608,29,8,21,False
236675,Baked Ziti with Cheese,,https://images.media-allrecipes.com/userphotos/720x405/1105695.jpg,4.39130449295,21.0,578.4091,25.6672,15.0511,75.42982,2428.938,61.64837,3.834019,6.072705,24.47108,foodrecsys,,,,,,,"['box barilla® ziti', 'butter', 'all-purpose flour', 'milk', 'ground nutmeg', 'kosher salt', 'kosher salt (optional)', 'barilla® marinara sauce', 'buffalo mozzarella cheese', 'freshly grated parmigiano-reggiano cheese', 'fresh breadcrumbs']","['box barilla® ziti', 'butter', 'all-purpose flour', 'milk', 'ground nutmeg', 'kosher salt', 'kosher salt (optional)', 'barilla® marinara sauce', 'buffalo mozzarella cheese', 'freshly grated parmigiano-reggiano cheese', 'fresh breadcrumbs']","['box barilla ziti', 'butter', 'all purpose flour', 'milk', 'nutmeg', 'kosher salt', 'barilla marinara sauce', 'buffalo mozzarella cheese', 'freshly parmigiano reggiano cheese', 'breadcrumb']","['box barilla ziti', 'butter', 'all purpose flour', 'milk', 'nutmeg', 'salt', 'barilla marinara sauce', 'buffalo mozzarella cheese', 'freshly parmigiano reggiano cheese', 'breadcrumb']","['box barilla ziti', 'butter', 'all purpose flour', 'milk', 'nutmeg', 'salt', 'barilla marinara sauce', 'buffalo mozzarella cheese', 'freshly parmigiano reggiano cheese', 'breadcrumb']","['other_target_ingredient', 'butter', 'all purpose flour', 'milk', 'nutmeg', 'salt', 'freshly parmigiano reggiano cheese', 'breadcrumb']",231.00480000000002,135.4599,246.59348,97.88432,23.419392952150996,39.93796086541516,False,False,False,0,False,2420.0636744,28,9,19,False
258082,Gnocchetti Sardi in Pesto Leggero di Zucchine (Zucchini Pesto Pasta),,https://images.media-allrecipes.com/userphotos/720x405/4554728.jpg,5.0,1.0,512.0106,22.51235,3.92741,4.048739,120.262,64.88487,3.963298,4.144918,15.22488,foodrecsys,,,,,,,"['zucchini sliced', 'small bunch basil leaves', 'pine nuts', 'garlic', 'extra-virgin olive oil', 'grated parmesan cheese', 'lemon juice (optional)', 'salt and ground black pepper to taste', 'gnocchetti pasta', 'grated parmesan cheese']","['zucchini sliced', 'small bunch basil leaves', 'pine nuts', 'garlic', 'extra-virgin olive oil', 'grated parmesan cheese', 'lemon juice (optional)', 'salt and ground black pepper to taste', 'gnocchetti pasta', 'grated parmesan cheese']","['zucchini', 'bunch basil leaf', 'pine nut', 'garlic', 'olive oil', 'parmesan cheese', 'lemon juice', 'salt and black pepper to taste', 'gnocchetti pasta']","['zucchini', 'bunch basil leaf', 'pine nut', 'garlic', 'olive oil', 'parmesan cheese', 'lemon juice', 'salt and black pepper to taste', 'gnocchetti pasta']","['zucchini', 'bunch basil leaf', 'pine nut', 'garlic', 'olive oil', 'parmesan cheese', 'lemon juice', 'salt and black pepper to taste', 'gnocchetti pasta']","['zucchini', 'other_target_ingredient', 'pine nut', 'garlic', 'olive oil', 'parmesan cheese', 'lemon juice', 'salt and black pepper to taste']",202.61115,35.34669,259.53948,60.89952,6.903507466446984,39.571670977124306,True,False,True,2,True,2142.2523504,10,9,1,True
60308,Shrimp Couscous Salad,,https://images.media-allrecipes.com/userphotos/720x405/813680.jpg,4.38983058929,91.0,529.7023,28.40738,7.83299,194.0333,570.1403,38.73402,3.2473,3.170416,28.65518,foodrecsys,,,,,,,"['couscous', 'water', 'olive oil', 'apple cider vinegar', 'dijon mustard', 'ground cumin', 'garlic', 'salt and pepper to taste', 'red bell pepper', 'yellow bell pepper', 'cooked shrimp', 'medium tomatoes chopped', 'chopped fresh parsley', 'crumbled feta cheese']","['couscous', 'water', 'olive oil', 'apple cider vinegar', 'dijon mustard', 'ground cumin', 'garlic', 'salt and pepper to taste', 'red bell pepper', 'yellow bell pepper', 'cooked shrimp', 'medium tomatoes chopped', 'chopped fresh parsley', 'crumbled feta cheese']","['couscou', 'water', 'olive oil', 'apple cider vinegar', 'dijon mustard', 'cumin', 'garlic', 'salt and pepper to taste', 'red bell pepper', 'yellow bell pepper', 'shrimp', 'tomato', 'parsley', 'crumbled feta cheese']","['couscou', 'water', 'olive oil', 'apple cider vinegar', 'dijon mustard', 'cumin', 'garlic', 'salt and pepper to taste', 'red bell pepper', 'yellow bell pepper', 'shrimp', 'tomato', 'parsley', 'crumbled feta cheese']","['couscou', 'water', 'olive oil', 'apple cider vinegar', 'dijon mustard', 'cumin', 'garlic', 'salt and pepper to taste', 'red bell pepper', 'yellow bell pepper', 'shrimp', 'tomato', 'parsley', 'crumbled feta cheese']","['couscou', 'water', 'olive oil', 'apple cider vinegar', 'dijon mustard', 'cumin', 'garlic', 'salt and pepper to taste', 'red bell pepper', 'yellow bell pepper', 'shrimp', 'tomato', 'parsley', 'crumbled feta cheese']",255.66642,70.49691,154.93608,114.62072,13.308779289801082,48.26605812359131,False,False,True,1,False,2216.2744232000005,19,8,11,False
