user_id,ingredients,cuisine,cooking_method,difficulty,protein_content,fiber_content,fat_content,carbohydrate_content,sodium_content
0,"['butter', 'salt']",['american'],['bake'],['intermediate'],['low'],['low'],[],[],['medium']
1,"['egg', 'salt', 'sugar']",['american'],['bake'],['intermediate'],['low'],['low'],['low'],['high'],[]
2,[],['american'],[],['intermediate'],[],['low'],[],[],[]
3,['garlic'],"['american', 'asian']","['bake', 'boil', 'sautee', 'simmer']",['intermediate'],"['high', 'medium']",['low'],"['high', 'medium']",[],['high']
4,"['garlic', 'onion', 'salt']",['american'],"['bake', 'sautee', 'simmer']",['intermediate'],['high'],['low'],['high'],['high'],['high']
5,"['butter', 'egg', 'flour', 'milk', 'salt', 'sugar']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
6,"['butter', 'cinnamon', 'margarine', 'sugar']","['american', 'unknown']","['bake', 'boil', 'roast', 'simmer']",['intermediate'],['low'],['low'],"['high', 'low']",['high'],"['high', 'low']"
7,"['butter', 'egg', 'onion', 'salt']",['american'],['bake'],['intermediate'],['medium'],['low'],['high'],[],['high']
8,"['garlic', 'onion', 'salt']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
9,"['garlic', 'salt']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
10,"['butter', 'salt', 'sugar']","['american', 'unknown']",['bake'],['intermediate'],['low'],['low'],['high'],['high'],"['high', 'medium']"
11,"['onion', 'salt']","['american', 'european']",['simmer'],['intermediate'],[],[],['high'],[],['high']
12,"['egg', 'garlic', 'salt']",['american'],"['fry', 'simmer']",['intermediate'],[],['low'],['high'],['high'],['high']
13,['salt'],['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],[],[],['high']
14,['salt'],['american'],"['bake', 'simmer']",['intermediate'],['medium'],['low'],['high'],['high'],['high']
15,"['baking powder', 'butter', 'cinnamon', 'egg', 'flour', 'garlic', 'milk', 'onion', 'salt', 'sugar']","['american', 'european']","['bake', 'boil', 'simmer']",['intermediate'],['low'],['low'],"['high', 'low']","['high', 'medium']","['high', 'medium']"
16,"['butter', 'egg', 'salt']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
17,[],['american'],['bake'],[],[],['low'],[],[],[]
18,['egg'],['american'],['bake'],['intermediate'],['low'],['low'],['high'],['high'],['high']
19,"['garlic', 'onion', 'salt']",['american'],['bake'],['intermediate'],['low'],['low'],['high'],['low'],['high']
20,"['butter', 'egg', 'salt']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
21,"['garlic', 'olive oil', 'onion', 'salt']",['american'],"['bake', 'sautee', 'simmer']",['intermediate'],['medium'],['low'],['high'],['high'],['high']
22,['cheddar cheese'],['american'],"['bake', 'simmer']",['intermediate'],['medium'],['low'],['high'],"['high', 'low']",['high']
23,"['onion', 'salt']",['american'],"['bake', 'boil', 'simmer']",['intermediate'],[],['low'],['high'],['high'],['high']
24,"['egg', 'salt']",['american'],"['bake', 'boil', 'simmer']",['intermediate'],"['low', 'medium']",['low'],['high'],['low'],[]
25,['onion'],['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],[],[],['high']
26,"['onion', 'salt']",['american'],['bake'],['intermediate'],['low'],['low'],['low'],['low'],['high']
27,['salt'],['american'],"['boil', 'simmer']",['intermediate'],['medium'],['low'],[],['high'],['high']
28,"['butter', 'egg', 'garlic', 'salt']",['american'],"['bake', 'simmer']",['intermediate'],['medium'],['low'],['high'],['low'],['high']
29,"['butter', 'salt', 'sugar']",['american'],"['bake', 'boil']",['intermediate'],['low'],['low'],['low'],['high'],['high']
30,"['butter', 'milk', 'onion']",['american'],"['bake', 'boil', 'simmer']",['intermediate'],['medium'],['low'],['high'],['high'],['high']
31,['garlic'],['american'],['simmer'],['intermediate'],['high'],['low'],['high'],['low'],['high']
32,"['salt', 'sugar']",[],['bake'],['intermediate'],[],[],['low'],['high'],[]
33,['salt'],[],['simmer'],['intermediate'],['low'],['low'],[],[],[]
34,"['onion', 'salt']",['american'],['bake'],['intermediate'],['low'],['low'],['high'],['low'],['high']
35,"['salt', 'sugar']",['unknown'],"['bake', 'boil']",['intermediate'],['low'],['low'],['low'],['high'],['low']
36,"['onion', 'salt']",['american'],"['bake', 'boil', 'simmer']",['intermediate'],[],[],['high'],['high'],['high']
37,"['beef', 'egg', 'onion', 'salt']","['american', 'european']","['bake', 'simmer']",['intermediate'],['medium'],['low'],['high'],['medium'],['high']
38,"['butter', 'garlic', 'onion', 'salt']",['american'],"['bake', 'simmer']",['intermediate'],['high'],['low'],['high'],['low'],['high']
39,"['garlic', 'salt']",['american'],"['bake', 'boil']",['intermediate'],['low'],['low'],['high'],['high'],['high']
40,"['butter', 'salt']",['american'],['bake'],['intermediate'],['low'],['low'],['high'],['low'],['high']
41,"['brown sugar', 'butter', 'egg', 'garlic', 'salt', 'sugar']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
42,"['butter', 'egg', 'salt', 'sugar']",['american'],['bake'],['intermediate'],['low'],['low'],[],['high'],"['high', 'medium']"
43,"['onion', 'salt', 'water']","['american', 'unknown']","['bake', 'simmer']",['intermediate'],['low'],['low'],[],[],['high']
44,"['butter', 'milk', 'onion', 'salt', 'sugar']",['american'],"['bake', 'boil', 'simmer']",['intermediate'],['low'],['low'],"['high', 'low']",['medium'],['high']
45,"['butter', 'onion', 'salt']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
46,[],['american'],['bake'],['intermediate'],[],[],[],[],[]
47,"['butter', 'salt']",['american'],"['bake', 'simmer']","['advanced', 'intermediate']",['medium'],['low'],['high'],['high'],['high']
48,"['butter', 'egg', 'flour', 'milk', 'salt', 'sugar']",['american'],['bake'],['intermediate'],['low'],['low'],['high'],['high'],['high']
49,"['butter', 'milk', 'onion', 'salt']",['american'],"['bake', 'sautee']",['intermediate'],['high'],['low'],['high'],['high'],['high']
50,"['salt', 'sugar']",['american'],['bake'],['intermediate'],['medium'],['low'],['high'],"['high', 'low']",['high']
51,"['egg', 'onion', 'salt']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
52,[],['european'],[],[],[],[],[],[],[]
53,"['egg', 'onion', 'salt', 'sugar']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],"['high', 'medium']",['high']
54,"['onion', 'salt']",['american'],"['bake', 'boil', 'simmer']",['intermediate'],['low'],"['low', 'medium']",['high'],['high'],['high']
55,"['onion', 'salt']",[],"['bake', 'boil', 'simmer']",['intermediate'],['low'],['low'],[],['high'],[]
56,['salt'],['american'],[],['intermediate'],[],['low'],['high'],['low'],['high']
57,"['butter', 'salt', 'sugar']",['american'],['bake'],['intermediate'],['low'],['low'],[],['high'],[]
58,['butter'],['american'],['bake'],['intermediate'],['low'],['low'],[],['low'],"['high', 'low']"
59,['butter'],['american'],['bake'],['intermediate'],[],['low'],['high'],[],['high']
60,"['butter', 'egg', 'onion', 'salt']",['american'],['bake'],['intermediate'],['low'],['low'],['high'],['high'],['high']
61,"['butter', 'egg', 'salt', 'sugar']",['american'],['bake'],['intermediate'],['low'],['low'],['high'],['high'],['high']
62,"['butter', 'salt', 'sugar']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
63,"['onion', 'salt']",['american'],['bake'],['intermediate'],[],['low'],['high'],[],['high']
64,['garlic'],[],['sautee'],['intermediate'],['low'],[],[],['high'],[]
65,['egg'],['american'],['bake'],['intermediate'],['low'],['low'],[],[],[]
66,"['egg', 'flour', 'milk', 'sugar']",['american'],['bake'],['intermediate'],"['low', 'medium']",['low'],['high'],['high'],['high']
67,"['onion', 'salt']",['american'],"['bake', 'boil', 'simmer']",['intermediate'],['medium'],['low'],['high'],['high'],['high']
68,"['butter', 'egg', 'onion', 'salt']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
69,"['egg', 'flour', 'garlic', 'salt', 'sugar']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['low'],['medium'],"['high', 'low']"
70,"['butter', 'salt']",['american'],['bake'],['intermediate'],[],['low'],[],['high'],['high']
71,"['garlic', 'onion', 'salt']",['american'],"['bake', 'sautee', 'simmer']",['intermediate'],[],['low'],['high'],['high'],['high']
72,"['chicken broth', 'egg', 'garlic', 'olive oil', 'onion']",['american'],"['bake', 'boil', 'sautee', 'simmer']",['intermediate'],"['low', 'medium']",[],['medium'],['high'],['high']
73,"['butter', 'egg']",['american'],['bake'],['intermediate'],['low'],['low'],['high'],['high'],['high']
74,"['garlic', 'onion', 'salt']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
75,"['butter', 'egg', 'salt', 'sugar']","['american', 'unknown']",['bake'],['intermediate'],['low'],['low'],['high'],['high'],['high']
76,"['butter', 'onion', 'salt']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
77,"['butter', 'egg', 'salt', 'sugar']",['american'],['bake'],['intermediate'],['low'],['low'],['high'],['high'],['high']
78,"['egg', 'salt', 'sugar']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],"['high', 'low']",['high'],['high']
79,"['butter', 'egg', 'onion', 'salt']",['american'],"['bake', 'boil', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
80,['salt'],"['american', 'unknown']","['bake', 'boil']",['intermediate'],"['low', 'medium']",['low'],[],['high'],[]
81,"['egg', 'salt', 'sugar']",['american'],['bake'],['intermediate'],['low'],['low'],"['high', 'medium']",['high'],['high']
82,['onion'],['american'],"['boil', 'stew']",['intermediate'],[],['low'],['high'],[],['high']
83,['salt'],['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
84,['onion'],['american'],"['boil', 'simmer']",['intermediate'],[],['low'],['high'],[],['high']
85,"['onion', 'salt']",[],"['bake', 'fry', 'simmer']",['intermediate'],['low'],[],['low'],['high'],['high']
86,"['garlic', 'onion']",['american'],['bake'],['intermediate'],[],['low'],['high'],['high'],['high']
87,"['garlic', 'margarine', 'onion', 'salt', 'soymilk']",['unknown'],"['bake', 'fry', 'sautee', 'simmer']",['intermediate'],['low'],['low'],"['high', 'low']",['high'],['high']
88,"['garlic', 'onion']",[],[],['intermediate'],[],['low'],['low'],"['high', 'low']",['high']
89,[],['american'],['bake'],['intermediate'],[],['low'],[],[],['medium']
90,"['baking powder', 'baking soda', 'banana', 'butter', 'egg', 'flour', 'salt', 'sugar', 'vanilla']","['american', 'unknown']","['bake', 'simmer']",['intermediate'],['low'],['low'],['low'],['high'],['medium']
91,"['butter', 'garlic', 'salt']",['american'],['bake'],['intermediate'],"['high', 'low']",['low'],"['high', 'medium']",['high'],['high']
92,"['butter', 'onion', 'salt']",['american'],"['bake', 'boil', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
93,"['butter', 'cinnamon', 'egg', 'flour', 'salt', 'sour cream', 'sugar']","['american', 'unknown']",['bake'],['intermediate'],['low'],['low'],['high'],['high'],"['high', 'medium']"
94,"['butter', 'egg', 'flour', 'salt', 'sugar']",['american'],['bake'],['intermediate'],['low'],['low'],[],['high'],"['high', 'medium']"
95,"['garlic', 'salt']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
96,"['butter', 'salt']",['american'],"['bake', 'simmer']",['intermediate'],[],['low'],['high'],['high'],['high']
97,['butter'],"['american', 'european']","['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],['low'],['high']
98,"['butter', 'onion']",['american'],"['bake', 'simmer']",['intermediate'],['high'],['low'],['high'],['high'],['high']
99,"['butter', 'garlic', 'onion', 'salt']",['american'],"['bake', 'simmer']",['intermediate'],['low'],['low'],['high'],['high'],['high']
100,"['all purpose flour', 'egg', 'salt', 'sugar']",['american'],['bake'],['intermediate'],['low'],['low'],[],['high'],[]
101,['salt'],['american'],['bake'],['intermediate'],['low'],['low'],['high'],['high'],['high']
