,variant,canonical
0,hard egg,egg
1,jumbo egg,egg
2,clove,garlic clove
3,whole clove,garlic clove
4,powdered clove,garlic clove
5,bulb of garlic,garlic
6,instant garlic,garlic
7,head of garlic,garlic
8,tomatoes with basil oregano and garlic,garlic
9,tomatoes with garlic,garlic
10,tomatoes with onion and garlic,garlic
11,bottled garlic,garlic
12,heads of garlic,garlic
13,bulbs of garlic,garlic
14,flat leaf parsley,parsley
15,italian parsley,parsley
16,flat leaf italian parsley,parsley
17,curly leaf parsley,parsley
18,real vanilla,vanilla
19,bicarbonate of soda,baking soda
20,frozen carrot,carrot
21,real vanilla extract,vanilla extract
22,vegan margarine,margarine
23,unsalted margarine,margarine
24,reduced calorie margarine,margarine
25,reduced fat margarine,margarine
26,soy margarine,margarine
27,low fat margarine,margarine
28,regular margarine,margarine
29,crystallized ginger,ginger
30,powdered ginger,ginger
31,candied ginger,ginger
32,pickled ginger,ginger
33,glace ginger,ginger
34,mexican oregano,oregano
35,dry oregano,oregano
36,greek oregano,oregano
37,tomatoes seasoned with basil garlic oregano,oregano
38,powdered cumin,cumin
39,liquid honey,honey
40,clear honey,honey
41,orange blossom honey,honey
42,thai basil,basil
43,sweet basil,basil
44,dry basil,basil
45,tomatoes with basil,basil
46,leaf basil,basil
47,whole nutmeg,nutmeg
48,low fat mayonnaise,mayonnaise
49,fat free mayonnaise,mayonnaise
50,hellmann s mayonnaise,mayonnaise
51,vegan mayonnaise,mayonnaise
52,best foods mayonnaise,mayonnaise
53,prepared mayonnaise,mayonnaise
54,leaf thyme,thyme
55,whole thyme,thyme
56,sweet paprika,paprika
57,hungarian paprika,paprika
58,hot paprika,paprika
59,sweet hungarian paprika,paprika
60,mild paprika,paprika
61,red paprika,paprika
62,smoked bacon,bacon
63,canadian bacon,bacon
64,streaky bacon,bacon
65,slab bacon,bacon
66,crisp bacon,bacon
67,back bacon,bacon
68,smoked streaky bacon,bacon
69,vegetarian bacon,bacon
70,button mushroom,mushroom
71,portabella mushroom,mushroom
72,shiitake mushroom,mushroom
73,cremini mushroom,mushroom
74,white mushroom,mushroom
75,porcini mushroom,mushroom
76,white button mushroom,mushroom
77,whole mushroom,mushroom
78,brown button mushroom,mushroom
79,whole pecan,pecan
80,candied pecan,pecan
81,black walnut,walnut
82,english walnut,walnut
83,candied walnut,walnut
84,golden raisin,raisin
85,seedless raisin,raisin
86,white raisin,raisin
87,sultana raisin,raisin
88,green zucchini,zucchini
89,yellow zucchini,zucchini
90,preserved lemon,lemon
91,jumbo shrimp,shrimp
92,frozen shrimp,shrimp
93,tiger shrimp,shrimp
94,bay shrimp,shrimp
95,low fat buttermilk,buttermilk
96,fat free buttermilk,buttermilk
97,dry buttermilk,buttermilk
98,fat buttermilk,buttermilk
99,tomato ketchup,ketchup
100,heinz ketchup,ketchup
101,no salt added ketchup,ketchup
102,frozen strawberry,strawberry
103,frozen unsweetened strawberry,strawberry
104,frozen sweetened strawberry,strawberry
105,frozen whole strawberry,strawberry
106,cream cheese with chive,chive
107,whole chicken,chicken
108,roasting chicken,chicken
109,broiler fryer chicken,chicken
110,frying chicken,chicken
111,fryer chicken,chicken
112,stewing chicken,chicken
113,white meat chicken,chicken
114,broiler chicken,chicken
115,vegetable shortening,shortening
116,crisco shortening,shortening
117,butter flavor shortening,shortening
118,solid shortening,shortening
119,english cucumber,cucumber
120,seedless cucumber,cucumber
121,lebanese cucumber,cucumber
122,pickling cucumber,cucumber
123,kirby cucumber,cucumber
124,english seedless cucumber,cucumber
125,seedless european cucumber,cucumber
126,hass avocado,avocado
127,whole allspice,allspice
128,chunk pineapple,pineapple
129,chunky salsa,salsa
130,mild salsa,salsa
131,green chili salsa,salsa
132,hot salsa,salsa
133,tomatillo salsa,salsa
134,chipotle salsa,salsa
135,mango salsa,salsa
136,frozen spinach,spinach
137,frozen creamed spinach,spinach
138,deli ham,ham
139,smoked ham,ham
140,country ham,ham
141,prosciutto ham,ham
142,serrano ham,ham
143,parma ham,ham
144,sweetened cranberry,cranberry
145,frozen cranberry,cranberry
146,green coriander,coriander
147,unsulphured molasse,molasse
148,pomegranate molasse,molasse
149,blackstrap molasse,molasse
150,rubbed sage,sage
151,key lime,lime
152,frozen blueberry,blueberry
153,unsweetened frozen blueberry,blueberry
154,kalamata olive,black olive
155,pitted black olive,black olive
156,pitted olive,black olive
157,stuffed green olive,black olive
158,spanish olive,black olive
159,nicoise olive,black olive
160,oil cured black olive,black olive
161,white rum,rum
162,spiced rum,rum
163,malibu rum,rum
164,golden rum,rum
165,bacardi rum,rum
166,jamaican rum,rum
167,mandarin orange,orange
168,navel orange,orange
169,blood orange,orange
170,seedless orange,orange
171,canned mandarin orange,orange
172,green cabbage,cabbage
173,red cabbage,cabbage
174,napa cabbage,cabbage
175,head of cabbage,cabbage
176,savoy cabbage,cabbage
177,chinese cabbage,cabbage
178,white cabbage,cabbage
179,purple cabbage,cabbage
180,frozen broccoli,broccoli
181,head broccoli,broccoli
182,head of broccoli,broccoli
183,flaked coconut,coconut
184,sweetened flaked coconut,coconut
185,unsweetened coconut,coconut
