ReviewId,RecipeId,UserId,UserName,Rating,ReviewText,DateSubmitted,DateModified,ReviewLength,ReviewYear,ReviewMonth,sentiment_score,Rating_scaled
2,992,2008,gayg msft,5,better than any you can get at a restaurant!,2000-01-25 21:44:00+00:00,2000-01-25 21:44:00+00:00,44,2000,1,0.4926,0.4654572143877933
7,4384,1634,Bill Hilbrich,4,"I cut back on the mayo, and made up the difference with sour cream to adjust the stiffness of the dip.",2001-10-17 16:49:59+00:00,2001-10-17 16:49:59+00:00,102,2001,10,-0.2732,-0.3206608154200556
9,4523,2046,Gay Gilmore ckpt,2,i think i did something wrong because i could taste the cornstarch in the finished product.,2000-02-25 09:00:00+00:00,2000-02-25 09:00:00+00:00,91,2000,2,-0.4767,-1.8928968750357533
13,7435,1773,Malarkey Test,5,"easily the best i have ever had.  juicy flavorful, not dry.  the vegetables retain crispness as well, not bland at all!",2000-03-13 21:15:00+00:00,2000-03-13 21:15:00+00:00,119,2000,3,0.8398,0.4654572143877933
14,44,2085,Tony Small,5,An excellent dish.,2000-03-28 12:51:00+00:00,2000-03-28 12:51:00+00:00,18,2000,3,0.5719,0.4654572143877933
17,5221,2046,Gay Gilmore ckpt,4,"love it, but without the bean sprouts.",2000-05-08 11:08:00+00:00,2000-05-08 11:08:00+00:00,38,2000,5,0.3818,-0.3206608154200556
19,13307,2046,Gay Gilmore ckpt,5,"chewy goodness, not crispy at all. i even threw in craisins and left the oatmeal whole, and they were great.",2000-05-21 16:59:00+00:00,2000-05-21 16:59:00+00:00,108,2000,5,0.7964,0.4654572143877933
21,148,2156,Darlene Blythe,0,Would someone please check the Nutrition Facts of this recipe.,2000-06-02 10:01:00+00:00,2000-06-02 10:01:00+00:00,62,2000,6,0.3182,-3.465132934651451
22,517,2046,Gay Gilmore ckpt,5,thought this was terrific!,2000-02-25 09:02:00+00:00,2000-02-25 09:02:00+00:00,26,2000,2,0.5255,0.4654572143877933
23,4684,2046,Gay Gilmore ckpt,5,this is absolutely delicious.  i even served it with lime slices so you could squeeze on more of the acid.,2000-02-25 09:06:00+00:00,2000-02-25 09:06:00+00:00,106,2000,2,0.6115,0.4654572143877933
24,278,1773,Malarkey Test,4,"a little greasy, but a huge hit with the guests.",2000-03-13 19:53:00+00:00,2000-03-13 19:53:00+00:00,48,2000,3,0.3725,-0.3206608154200556
25,3431,2046,Gay Gilmore ckpt,5,leeks on a pizza?!  it was really delicious.  i used a boboli and added some chicken sausage slices and mushrooms too.,2000-04-07 11:06:00+00:00,2000-04-07 11:06:00+00:00,118,2000,4,0.6468,0.4654572143877933
